"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"12/03/2024","15:28:0",25.62,1021,-64.31,53.53
"12/03/2024","15:29:0",25.69,1021.03,-64.68,53.01
"12/03/2024","15:30:0",25.45,1021.05,-64.76,53.89
"12/03/2024","15:31:0",24.9,1021.1,-65.19,55.01
"12/03/2024","15:32:0",23.87,1021.15,-65.58,57.11
"12/03/2024","15:33:0",23.51,1021.14,-65.47,58.29
"12/03/2024","15:34:0",23.79,1021.16,-65.65,57.51
"12/03/2024","15:35:0",23.86,1021.15,-65.54,57.45
"12/03/2024","15:36:0",24.01,1021.11,-65.23,57.34
"12/03/2024","15:37:0",24.38,1021.16,-65.67,56.38
"12/03/2024","15:38:0",24.12,1021.56,-69,56.87
"12/03/2024","15:39:0",24.44,1021.84,-71.28,56.86
"12/03/2024","15:40:0",24.54,1021.96,-72.26,55.81
"12/03/2024","15:41:0",24.32,1022.26,-74.72,56.3
"12/03/2024","15:42:0",24.3,1022.27,-74.83,56.99
"12/03/2024","15:43:0",24.23,1022.37,-75.63,57.28
"12/03/2024","15:44:1",24.26,1022.23,-74.49,56.97
"12/03/2024","15:45:0",24.55,1022.2,-74.27,56.84
"12/03/2024","15:46:0",25.04,1022.16,-73.93,56.08
"12/03/2024","15:47:0",25.42,1022.26,-74.71,54.88
"12/03/2024","15:48:0",24.81,1022.28,-74.92,57.26
"12/03/2024","15:49:0",23.12,1022.42,-76.03,62.14
"12/03/2024","15:50:0",23,1022.67,-78.15,63.85
"12/03/2024","15:51:0",22.95,1022.42,-76.03,64.24
"12/03/2024","15:52:0",24.31,1022.33,-75.29,61.61
"12/03/2024","15:53:0",24.45,1022.28,-74.93,58.12
"12/03/2024","15:54:0",23.58,1022.25,-74.62,61.75
"12/03/2024","15:55:0",23.03,1022.3,-75.06,66.36
"12/03/2024","15:56:0",23.56,1022.2,-74.23,62.09
"12/03/2024","15:57:0",23.04,1022.41,-75.95,66.44
"12/03/2024","15:58:0",23.57,1022.41,-75.98,64.57
"12/03/2024","15:59:0",23.59,1022.28,-74.93,63.19
"12/03/2024","16:0:0",22.63,1022.16,-73.95,65.86
"12/03/2024","16:1:0",22.16,1021.91,-71.84,67.49
"12/03/2024","16:2:0",21.62,1021.87,-71.54,71.25
"12/03/2024","16:3:0",22.22,1021.8,-70.97,68.75
"12/03/2024","16:4:0",22.42,1021.8,-70.98,65.45
"12/03/2024","16:5:0",22.43,1021.64,-69.61,66.72
"12/03/2024","16:6:0",22.6,1021.6,-69.31,65.03
"12/03/2024","16:7:0",22.27,1021.88,-71.61,68.13
"12/03/2024","16:8:0",22.43,1021.84,-71.24,69.16
"12/03/2024","16:9:0",22.48,1021.8,-70.91,66.06
"12/03/2024","16:10:0",22.58,1021.8,-70.96,66.73
"12/03/2024","16:11:0",22.02,1021.81,-71.05,67.78
"12/03/2024","16:12:0",22.39,1021.81,-70.99,66.09
"12/03/2024","16:13:0",22,1021.69,-70.07,69.36
"12/03/2024","16:14:0",21.97,1021.67,-69.88,70.87
"12/03/2024","16:15:0",22.26,1021.68,-69.96,69.26
"12/03/2024","16:16:0",22.26,1021.59,-69.2,65.65
"12/03/2024","16:17:0",22.38,1021.52,-68.61,66.45
"12/03/2024","16:18:0",22.19,1021.5,-68.43,66.83
"12/03/2024","16:19:0",22.27,1021.56,-68.85,65.93
"12/03/2024","16:20:0",22.4,1021.66,-69.78,66.38
"12/03/2024","16:21:0",23.02,1021.66,-69.76,64.2
"12/03/2024","16:22:0",22.85,1021.7,-70.15,64.76
"12/03/2024","16:23:0",22.06,1021.43,-67.9,66.14
"12/03/2024","16:24:0",22.25,1021.57,-69.06,66.98
"12/03/2024","16:25:0",22.61,1021.77,-70.68,67.22
"12/03/2024","16:26:0",22.59,1021.75,-70.57,67.65
"12/03/2024","16:27:0",22.29,1022,-72.6,65.9
"12/03/2024","16:28:0",21.55,1021.92,-71.95,68.35
"12/03/2024","16:29:0",21.29,1022.2,-74.22,69.3
"12/03/2024","16:30:0",21.77,1021.99,-72.51,68.89
"12/03/2024","16:31:0",22.4,1021.91,-71.85,66.71
"12/03/2024","16:32:0",22.59,1021.83,-71.23,66.83
"12/03/2024","16:33:0",22.96,1022.02,-72.77,65.06
"12/03/2024","16:34:0",22.63,1021.82,-71.12,66.89
"12/03/2024","16:35:0",22.35,1021.9,-71.73,68.26
"12/03/2024","16:36:0",21.8,1022.28,-74.9,69.56
"12/03/2024","16:37:0",20.91,1021.89,-71.71,74.35
"12/03/2024","16:38:0",21.11,1021.97,-72.32,70.88
