type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,15/03/2024 10:00:34,28.22397803,-16.62744173,3.00,2211,,0,,15,18,20240315-100034,GPS Logger: 20240315-100034 - Teide
T,15/03/2024 10:00:37,28.22397803,-16.62744173,3.00,2211,,0,,15,18,,
T,15/03/2024 10:00:40,28.22397803,-16.62744173,3.00,2211,,0,,15,18,,
T,15/03/2024 10:00:43,28.22405478,-16.62736589,3.00,2211,,1,59,15,18,,
T,15/03/2024 10:00:46,28.22407756,-16.62733495,3.00,2211,,1,50,15,18,,
T,15/03/2024 10:00:49,28.22410087,-16.62732288,4.00,2211,,1,56,15,18,,
T,15/03/2024 10:00:52,28.22412499,-16.62730737,6.00,2210,,1,43,15,18,,
T,15/03/2024 10:00:55,28.22413250,-16.62729455,6.00,2210,,1,14,14,18,,
T,15/03/2024 10:00:58,28.22412968,-16.62726379,4.00,2210,,1,29,14,18,,
T,15/03/2024 10:01:01,28.22412616,-16.62722308,4.00,2211,,1,73,13,17,,
T,15/03/2024 10:01:04,28.22411717,-16.62719603,6.00,2211,,1,97,12,16,,
T,15/03/2024 10:01:07,28.22411760,-16.62718045,8.00,2211,,1,95,11,16,,
T,15/03/2024 10:01:10,28.22411916,-16.62717630,8.00,2211,,0,94,10,15,,
T,15/03/2024 10:01:13,28.22412479,-16.62717485,8.00,2211,,0,127,11,16,,
T,15/03/2024 10:01:16,28.22412926,-16.62717265,12.00,2211,,0,94,11,16,,
T,15/03/2024 10:01:19,28.22412217,-16.62716133,12.00,2211,,0,79,10,16,,
T,15/03/2024 10:01:22,28.22412236,-16.62716048,12.00,2211,,0,69,10,16,,
T,15/03/2024 10:01:25,28.22412127,-16.62715120,12.00,2211,,0,65,12,16,,
T,15/03/2024 10:01:28,28.22412101,-16.62714164,8.00,2211,,0,,11,16,,
T,15/03/2024 10:01:31,28.22412417,-16.62711974,8.00,2211,,0,62,12,16,,
